"Name","Value"
"Schedule Name","Habituation and Conditioning_barpress_VI60   "
"Version","N/A"
"Environment","Test [1]"
"Machine Name","EPHYS-1-PC"
"Date/Time","11/19/2018 10:23:43"
"Database","*DEFAULT"
"Schedule Run ID","198"
"Finalized","No"
"Record Count","2565"
"Animal ID","FR6"
"Application_Version","ABET II Standard 2.18.5274.13905"
"Group ID","Hab+Con"
"Max_Number_Trials","0"
"Max_Schedule_Time","2550"
"Schedule_Description","VI Schedule of Reinforcement"
"Schedule_Start_Time","2018-11-19T10:23:44.017"
"User","Rebecca"
"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"251.008","16","Variable Event","ITI_Value","","2","1","Value","180",,,,,,,,
"251.9","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"252.097","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"252.296","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"253.153","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"253.747","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"255.594","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"256.651","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"262.326","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"263.448","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"264.239","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"264.57","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"266.219","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"266.747","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"283.576","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"283.576","7","Pulse Output Event","Pellet_Release #1","","2","1","Duration","0.05",,,,,,,,
"283.576","16","Variable Event","VI_Value","","2","1","Value","59",,,,,,,,
"284.171","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"290.044","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"290.44","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"290.505","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"290.704","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"291.099","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"291.694","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"291.759","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"292.221","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"303.506","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"304.035","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"304.165","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"304.233","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"307.465","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"308.126","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"313.669","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"315.451","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"321.456","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"322.248","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"322.313","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"322.842","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"324.226","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"324.755","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"324.82","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"325.283","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"327.591","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"328.186","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"328.251","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"328.78","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"330.033","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"330.627","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"333.728","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"335.048","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"335.113","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"335.444","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"336.499","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"337.027","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"337.092","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"337.225","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"342.966","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"342.967","7","Pulse Output Event","Pellet_Release #1","","2","1","Duration","0.05",,,,,,,,
"342.967","16","Variable Event","VI_Value","","2","1","Value","89",,,,,,,,
"343.627","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"345.804","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"346.399","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"348.509","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"350.489","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"353.194","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"353.591","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"353.655","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"353.986","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"354.051","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"354.844","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"355.899","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"356.295","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"359.396","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"360.453","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"361.706","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"362.366","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"362.431","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"362.498","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"363.091","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"363.62","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"365.071","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"365.467","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"365.532","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"365.995","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"367.116","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"367.447","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"367.71","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"367.777","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"368.832","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"369.36","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"369.425","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"369.624","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"369.689","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"370.152","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"370.217","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"370.35","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"370.415","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"370.746","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"371.933","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"372.197","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"372.328","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"372.946","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"374.308","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"374.903","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"374.967","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"375.298","39","Input Transition Off Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
"376.485","38","Input Transition On Event","Right_Lever_Down1 #1","","2","0",,,,,,,,,,
